player_name,age,team,position,games,games_started,minutes,pts,ast,orb,drb,trb,stl,blk
Anfernee Simons,25,POR,SG,70,70,32.7,19.3,4.8,0.4,2.3,2.7,0.9,0.1
Shaedon Sharpe,21,POR,SG,72,52,31.3,18.5,2.8,0.9,3.6,4.5,0.9,0.2
Kevon Looney,28,GSW,C,76,6,15.0,4.5,1.6,2.4,3.6,6.1,0.6,0.5
Ron Holland,19,DET,SF,81,2,15.6,6.4,1.0,0.5,2.2,2.7,0.6,0.2
Dalen Terry,22,CHI,SG,73,5,13.5,4.5,1.3,0.5,1.2,1.7,0.6,0.2
Ryan Dunn,22,PHO,SF,74,44,19.1,6.9,0.8,1.2,2.4,3.6,0.6,0.5
Bennedict Mathurin,22,IND,SF,72,49,29.8,16.1,1.9,1.2,4.1,5.3,0.7,0.3
Malik Monk,26,SAC,SG,65,45,31.6,17.2,5.6,0.5,3.3,3.8,0.9,0.6
Javonte Green,31,2TM,SG,68,19,18.5,5.1,0.8,0.9,2.3,3.2,1.0,0.5
DeMar DeRozan,35,SAC,SF,77,77,35.9,22.2,4.4,0.6,3.2,3.9,0.8,0.4
Andrew Nembhard,25,IND,SG,65,65,28.9,10.0,5.0,0.5,2.8,3.3,1.2,0.2
Cameron Payne,30,NYK,PG,72,5,15.1,6.9,2.8,0.2,1.3,1.4,0.5,0.2
Alperen Şengün,22,HOU,C,76,76,31.5,19.1,4.9,3.4,6.9,10.3,1.1,0.8
Russell Westbrook,36,DEN,PG,75,36,27.9,13.3,6.1,1.4,3.6,4.9,1.4,0.5
Jalen Green,22,HOU,SG,82,82,32.9,21.0,3.4,0.5,4.0,4.6,0.9,0.3
Simone Fontecchio,29,DET,SF,75,0,16.5,5.9,0.9,0.7,2.2,2.9,0.4,0.2
Draymond Green,34,GSW,PF,68,66,29.2,9.0,5.6,1.1,5.0,6.1,1.5,1.0
Jaime Jaquez Jr.,23,MIA,SF,66,17,20.7,8.6,2.5,1.3,3.1,4.4,0.9,0.2
James Harden,35,LAC,PG,79,79,35.3,22.8,8.7,0.7,5.1,5.8,1.5,0.7
