player_name,age,team,position,games,games_started,minutes,fg_made,fg_atp,fg_pct,three_made,three_atp,three_pct,two_made,two_atp,two_pct,efg_pct,ft_made,ft_atp,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Alperen Şengün,22,HOU,C,76,76,31.5,7.5,15.0,496,0.3,1.2,233,7.2,13.9,519,505,3.9,5.6,692,3.4,6.9,10.3,4.9,1.1,0.8,2.6,2.8,19.1
Russell Westbrook,36,DEN,PG,75,36,27.9,5.0,11.1,449,1.3,3.9,323,3.7,7.2,517,505,2.1,3.1,661,1.4,3.6,4.9,6.1,1.4,0.5,3.2,2.5,13.3
Jalen Green,22,HOU,SG,82,82,32.9,7.4,17.5,423,2.9,8.1,354,4.6,9.5,482,505,3.3,4.1,813,0.5,4.0,4.6,3.4,0.9,0.3,2.5,1.5,21.0
Simone Fontecchio,29,DET,SF,75,0,16.5,2.0,5.0,402,1.0,3.0,335,1.0,1.9,507,504,0.9,1.1,833,0.7,2.2,2.9,0.9,0.4,0.2,0.7,1.3,5.9
Draymond Green,34,GSW,PF,68,66,29.2,3.2,7.5,424,1.2,3.6,325,2.0,3.9,517,503,1.5,2.2,687,1.1,5.0,6.1,5.6,1.5,1.0,2.6,3.2,9.0
Jaime Jaquez Jr.,23,MIA,SF,66,17,20.7,3.2,7.0,461,0.6,1.8,311,2.7,5.2,513,501,1.6,2.2,754,1.3,3.1,4.4,2.5,0.9,0.2,1.5,1.2,8.6
James Harden,35,LAC,PG,79,79,35.3,6.7,16.4,410,3.0,8.5,352,3.7,7.9,472,501,6.4,7.3,874,0.7,5.1,5.8,8.7,1.5,0.7,4.3,2.1,22.8
Wendell Carter Jr.,25,ORL,C,68,51,25.9,3.3,7.2,460,0.5,2.3,234,2.8,4.9,568,498,1.9,2.6,737,2.2,5.0,7.2,2.0,0.8,0.6,1.1,2.9,9.1
Spencer Dinwiddie,31,DAL,PG,79,30,27.0,3.6,8.6,416,1.4,4.1,334,2.2,4.5,492,496,2.5,3.1,802,0.2,2.4,2.6,4.4,0.9,0.2,1.3,1.5,11.0
Scoot Henderson,20,POR,PG,66,10,26.7,4.3,10.4,419,1.6,4.5,354,2.8,5.9,469,496,2.4,3.1,767,0.8,2.2,3.0,5.1,1.0,0.2,2.7,2.7,12.7
